epoch,dice_coefficient_edema,dice_coefficient_enhancing,dice_coefficient_necrotic,f1-score,iou_score,learning_rate,loss,val_dice_coefficient_edema,val_dice_coefficient_enhancing,val_dice_coefficient_necrotic,val_f1-score,val_iou_score,val_loss
0,0.09211844950914383,0.021775245666503906,0.04189320281147957,0.2342265397310257,0.19786305725574493,9.999999747378752e-05,0.5047005414962769,0.11178120970726013,0.028395041823387146,0.05028567835688591,0.2830105721950531,0.25474631786346436,0.15838873386383057
1,0.2725260555744171,0.10792450606822968,0.1197834238409996,0.3683089315891266,0.29854872822761536,9.999999747378752e-05,0.08756489306688309,0.20841561257839203,0.0842842236161232,0.09506962448358536,0.3420976996421814,0.2680823802947998,0.09551838785409927
2,0.415865033864975,0.2342362254858017,0.21829351782798767,0.4637894332408905,0.4464293122291565,9.999999747378752e-05,0.055303629487752914,0.40847742557525635,0.24693135917186737,0.2130298912525177,0.46412748098373413,0.43825846910476685,0.06728861480951309
3,0.5138328671455383,0.3767557442188263,0.3341527283191681,0.5539289712905884,0.5647148489952087,9.999999747378752e-05,0.0424257330596447,0.5378175973892212,0.42399340867996216,0.29145216941833496,0.56144118309021,0.5408821702003479,0.03994876891374588
4,0.5807704329490662,0.4827742278575897,0.4141755700111389,0.6177101731300354,0.6210736036300659,9.999999747378752e-05,0.0351729691028595,0.5905078053474426,0.4880528748035431,0.39700406789779663,0.6173681616783142,0.5913944840431213,0.03473057597875595
5,0.6288245916366577,0.5573146939277649,0.4653584659099579,0.661462128162384,0.6563515663146973,9.999999747378752e-05,0.0306184533983469,0.6147302389144897,0.5568234920501709,0.4616181254386902,0.656966507434845,0.6483056545257568,0.02981678396463394
6,0.6609720587730408,0.6140180826187134,0.5035260915756226,0.6934089064598083,0.6816591620445251,9.999999747378752e-05,0.027586769312620163,0.658909022808075,0.5910404920578003,0.446970134973526,0.6730530261993408,0.6342206597328186,0.0284037496894598
7,0.6861996650695801,0.6544583439826965,0.5302118062973022,0.7166323065757751,0.6992576718330383,9.999999747378752e-05,0.02537911757826805,0.6702554821968079,0.6051833629608154,0.48622000217437744,0.6893226504325867,0.6319549679756165,0.02916387841105461
8,0.7048898935317993,0.6874095797538757,0.5519086718559265,0.7350682616233826,0.7135446667671204,9.999999747378752e-05,0.023651614785194397,0.7089341878890991,0.690538227558136,0.5424721837043762,0.7345450520515442,0.7051001191139221,0.023990731686353683
9,0.7209107875823975,0.7117777466773987,0.5655889511108398,0.7486661672592163,0.7234079241752625,9.999999747378752e-05,0.022277798503637314,0.7149624824523926,0.7054198980331421,0.5659516453742981,0.7457168698310852,0.7141929268836975,0.022907575592398643
10,0.7352474331855774,0.7312012314796448,0.5811964273452759,0.7610691785812378,0.7336639761924744,9.999999747378752e-05,0.021144259721040726,0.7343558669090271,0.7288647294044495,0.5756850838661194,0.7588942646980286,0.7246535420417786,0.02158849872648716
11,0.7464960217475891,0.7489290237426758,0.5946030020713806,0.7717161178588867,0.7422332167625427,9.999999747378752e-05,0.020174315199255943,0.7382165193557739,0.728763997554779,0.5798788070678711,0.7608999609947205,0.7277946472167969,0.020835932344198227
12,0.7571491599082947,0.7631109952926636,0.6029918789863586,0.7800700664520264,0.7489570379257202,9.999999747378752e-05,0.01929404027760029,0.7524520754814148,0.7546510696411133,0.5804290771484375,0.7711338400840759,0.7328489422798157,0.02014228142797947
13,0.7656877040863037,0.7734836935997009,0.6099505424499512,0.7865711450576782,0.7540367245674133,9.999999747378752e-05,0.018652962520718575,0.7563633322715759,0.7619002461433411,0.6023222208023071,0.7794342041015625,0.7423446178436279,0.019607894122600555
14,0.7738543152809143,0.7822445631027222,0.6200677752494812,0.7933633327484131,0.7596352100372314,9.999999747378752e-05,0.018001001328229904,0.7553181648254395,0.7704707980155945,0.5931063294410706,0.7789972424507141,0.7386165857315063,0.019769109785556793
15,0.7797754406929016,0.7907623648643494,0.6242702603340149,0.7980479598045349,0.7635020613670349,9.999999747378752e-05,0.01752791553735733,0.7547186017036438,0.7698248028755188,0.6013563275337219,0.7807819247245789,0.7439774870872498,0.018934300169348717
16,0.7862842679023743,0.7985594868659973,0.630765974521637,0.8032756447792053,0.7680548429489136,9.999999747378752e-05,0.016984501853585243,0.764534592628479,0.7736652493476868,0.6180948615074158,0.7884091138839722,0.7465562224388123,0.018609648570418358
17,0.7914623618125916,0.8038530945777893,0.6368502974510193,0.8074325919151306,0.77152019739151,9.999999747378752e-05,0.01657854951918125,0.7641119360923767,0.7860687375068665,0.6230908036231995,0.7926650643348694,0.7505420446395874,0.01860208436846733
18,0.7969459295272827,0.8100693225860596,0.6426777839660645,0.8118382096290588,0.7754552960395813,9.999999747378752e-05,0.01610459014773369,0.7737409472465515,0.7946566939353943,0.6237505674362183,0.7973909974098206,0.7479422688484192,0.018994582816958427
19,0.8005824685096741,0.8142294883728027,0.6467412710189819,0.8148150444030762,0.7777868509292603,9.999999747378752e-05,0.015829918906092644,0.7753949165344238,0.7977025508880615,0.6317194104194641,0.800588071346283,0.7595664858818054,0.017560655251145363
